,date,price,year
214,20181004,291.78,2018
215,20181002,296.53,2018
216,20181001,300.17,2018
217,20180928,300.51,2018
218,20180927,302.59,2018
219,20180921,300.81,2018
220,20180920,299.04,2018
221,20180920,299.04,2018
222,20180919,296.64,2018
223,20180918,296.10,2018
224,20180917,295.23,2018
225,20180914,297.29,2018
226,20180913,292.42,2018
227,20180912,292.35,2018
228,20180912,292.35,2018
229,20180911,292.46,2018
230,20180910,293.70,2018
231,20180907,292.86,2018
232,20180906,294.28,2018
233,20180905,294.96,2018
234,20180904,298.80,2018
235,20180904,298.80,2018
236,20180903,297.49,2018
237,20180831,300.07,2018
238,20180830,298.05,2018
239,20180829,298.05,2018
240,20180828,297.22,2018
241,20180827,296.83,2018
242,20180827,296.83,2018
243,20180824,295.54,2018
244,20180823,294.29,2018
245,20180822,293.00,2018
246,20180821,291.93,2018
247,20180820,288.61,2018
248,20180817,288.57,2018
249,20180817,288.57,2018
250,20180816,288.24,2018
251,20180814,291.08,2018
252,20180813,289.85,2018
253,20180810,293.64,2018
254,20180809,297.41,2018
255,20180808,297.19,2018
256,20180808,297.19,2018
257,20180807,297.18,2018
258,20180806,295.24,2018
259,20180803,295.61,2018
260,20180802,293.55,2018
261,20180801,298.69,2018
262,20180731,297.45,2018
263,20180731,297.45,2018
264,20180730,297.29,2018
265,20180727,297.78,2018
266,20180726,296.95,2018
267,20180725,294.85,2018
268,20180724,295.49,2018
269,20180723,294.56,2018
270,20180723,294.56,2018
271,20180720,296.95,2018
272,20180719,295.90,2018
273,20180718,296.47,2018
274,20180717,296.88,2018
275,20180716,297.37,2018
276,20180713,298.65,2018
277,20180713,298.65,2018
278,20180712,294.41,2018
279,20180711,294.43,2018
280,20180710,296.19,2018
281,20180709,295.20,2018
282,20180706,293.11,2018
283,20180705,291.63,2018
284,20180705,291.63,2018
285,20180704,292.26,2018
286,20180703,293.35,2018
287,20180702,292.93,2018
288,20180629,299.66,2018
289,20180628,298.26,2018
290,20180627,302.25,2018
291,20180627,302.25,2018
292,20180626,302.76,2018
293,20180625,303.37,2018
294,20180622,303.69,2018
295,20180621,301.02,2018
296,20180620,304.02,2018
297,20180619,301.35,2018
298,20180619,301.35,2018
299,20180618,305.35,2018
300,20180615,308.73,2018
301,20180614,311.20,2018
302,20180612,316.84,2018
303,20180611,317.22,2018
304,20180608,314.97,2018
305,20180608,314.97,2018
306,20180607,317.67,2018
307,20180605,315.76,2018
308,20180604,314.84,2018
309,20180601,313.22,2018
310,20180531,310.92,2018
311,20180530,309.26,2018
312,20180530,309.26,2018
313,20180529,316.20,2018
314,20180528,318.99,2018
315,20180525,318.05,2018
316,20180524,317.48,2018
317,20180523,318.31,2018
318,20180521,316.25,2018
319,20180521,316.25,2018
320,20180518,315.37,2018
321,20180517,314.29,2018
322,20180516,315.97,2018
323,20180515,314.94,2018
324,20180514,317.72,2018
325,20180511,318.51,2018
326,20180511,318.51,2018
327,20180510,317.31,2018
328,20180509,314.42,2018
329,20180508,315.87,2018
330,20180504,316.75,2018
331,20180503,320.55,2018
332,20180502,322.53,2018
333,20180502,322.53,2018
334,20180430,323.56,2018
335,20180427,320.80,2018
336,20180426,318.08,2018
337,20180425,313.99,2018
338,20180424,315.86,2018
339,20180423,317.89,2018
340,20180423,317.89,2018
341,20180420,317.89,2018
342,20180419,320.12,2018
343,20180418,318.64,2018
344,20180417,314.64,2018
345,20180416,315.17,2018
346,20180413,314.86,2018
347,20180413,314.86,2018
348,20180412,313.22,2018
349,20180411,312.94,2018
350,20180410,313.94,2018
351,20180409,313.45,2018
352,20180406,311.61,2018
353,20180405,313.04,2018
354,20180405,313.04,2018
355,20180404,308.54,2018
356,20180403,313.38,2018
357,20180402,314.00,2018
358,20180330,314.61,2018
359,20180329,313.82,2018
360,20180328,311.81,2018
361,20180328,311.81,2018
362,20180327,316.34,2018
363,20180326,314.89,2018
364,20180323,312.42,2018
365,20180322,323.32,2018
366,20180321,321.60,2018
367,20180320,321.79,2018
368,20180320,321.79,2018
369,20180319,320.35,2018
370,20180316,322.88,2018
371,20180315,322.74,2018
372,20180314,321.99,2018
373,20180313,322.98,2018
374,20180312,320.70,2018
375,20180312,320.70,2018
376,20180309,317.67,2018
377,20180308,314.78,2018
378,20180307,311.14,2018
379,20180306,310.46,2018
380,20180305,304.58,2018
381,20180302,308.35,2018
